from,to,relation,weight
mbhbqaaat,kbkbaaat,6,1
kbkbaaat,mbhbkat,6,1
mbhbkat,kbkbaaat,6,1
kbkbaaat,e,6,1
e,kbkbaaat,6,1
kbkbaaat,bbmbsat,6,1
bbmbsat,kbkbaaat,6,1
kbkbaaat,abhbjbhat,6,1
abhbjbhat,kbkbaaat,6,1
kbkbaaat,fbnbabaat,6,1
fbnbabaat,kbkbaaat,6,1
abhbjbhat,mbaat,6,1
mbaat,abhbjbhat,6,1
abhbjbhat,hbkat,6,1
hbkat,abhbjbhat,6,1
abhbjbhat,mbhbqaaat,6,1
mbhbqaaat,abhbjbhat,6,1
abhbjbhat,mbhbkat,6,1
mbhbkat,abhbjbhat,6,1
abhbjbhat,e,6,1
e,abhbjbhat,6,1
abhbjbhat,bbmbsat,6,1
bbmbsat,abhbjbhat,6,1
abhbjbhat,fbnbabaat,6,1
fbnbabaat,abhbjbhat,6,1
fbnbabaat,mbaat,6,1
mbaat,fbnbabaat,6,1
fbnbabaat,hbkat,6,1
hbkat,fbnbabaat,6,1
fbnbabaat,mbhbqaaat,6,1
mbhbqaaat,fbnbabaat,6,1
fbnbabaat,mbhbkat,6,1
mbhbkat,fbnbabaat,6,1
fbnbabaat,e,6,1
e,fbnbabaat,6,1
fbnbabaat,bbmbsat,6,1
bbmbsat,fbnbabaat,6,1
QSI,PSG,1,2
QIA,QSI,1,2
K,HAM,9,2
K,TTC,9,2
K,BA,9,2
K,WGH,9,2
K,WAS,9,2
K,ASC,9,1
K,AS,9,2
K,LHM,9,3
K,AYWC,9,2
K,AOSC,9,1
K,AFC,9,2
K,CWC,9,2
K,ISF,9,2
K,AAC,9,1
K,IAAF,9,2
K,ISAF,9,2
K,AM,9,2
K,PS,9,2
K,ASCS,9,2
K,FINA,9,2
K,IHF,9,2
K,IPC,9,2
K,WABC,9,2
K,WRO,9,1
K,UCI,9,2
K,FIG,9,2
K,WBG,9,2
K,FKW,9,2
K,ASCSS,9,2
K,FAM,9,2
K,FINAA,9,2
K,FINAM,9,2
K,ASSIS,9,2
K,LWM,9,2
K,WM,9,2
